City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Albany,42.6,-73.97,60.01,96,0,6.53,clear sky,US,2020-08-31 01:17:07
1,Mataura,-46.19,168.86,61.88,46,0,15.19,clear sky,NZ,2020-08-31 01:17:07
2,Punta Arenas,-53.15,-70.92,32.0,90,12,13.87,few clouds,CL,2020-08-31 01:17:07
3,Tuktoyaktuk,69.45,-133.04,46.4,81,90,16.11,overcast clouds,CA,2020-08-31 01:17:08
4,Saint-Philippe,-21.36,55.77,66.2,68,20,3.36,few clouds,RE,2020-08-31 01:17:08
5,Arraial Do Cabo,-22.97,-42.03,75.2,78,0,12.75,clear sky,BR,2020-08-31 01:17:08
6,Pietarsaari,63.65,22.68,57.0,93,100,2.24,light rain,FI,2020-08-31 01:17:09
7,Victoria,22.29,114.16,89.01,62,53,5.99,light rain,HK,2020-08-31 01:17:09
8,Derzhavinsk,51.1,66.32,66.72,46,0,6.96,clear sky,KZ,2020-08-31 01:13:29
9,Upernavik,72.79,-56.15,39.87,88,100,10.22,overcast clouds,GL,2020-08-31 01:17:09
10,Yellowknife,62.46,-114.35,53.6,54,20,12.75,few clouds,CA,2020-08-31 01:14:03
11,Lebu,-37.62,-73.65,46.85,77,3,20.69,clear sky,CL,2020-08-31 01:17:10
12,Puerto Ayora,-0.74,-90.35,64.65,83,96,9.86,overcast clouds,EC,2020-08-31 01:17:10
13,Bluff,-46.6,168.33,58.26,60,0,25.01,clear sky,NZ,2020-08-31 01:17:10
14,Cabo San Lucas,22.89,-109.91,86.0,83,20,12.75,few clouds,MX,2020-08-31 01:15:50
15,Praia Da Vitoria,38.73,-27.07,77.0,88,75,7.7,broken clouds,PT,2020-08-31 01:17:11
16,Sydney,-33.87,151.21,71.01,34,40,23.04,scattered clouds,AU,2020-08-31 01:15:03
17,Rikitea,-23.12,-134.97,69.28,82,25,17.49,scattered clouds,PF,2020-08-31 01:17:11
18,Provideniya,64.38,-173.3,51.8,62,75,17.9,broken clouds,RU,2020-08-31 01:17:11
19,Hilo,19.73,-155.09,84.2,58,90,10.29,moderate rain,US,2020-08-31 01:17:03
20,Ushuaia,-54.8,-68.3,28.4,92,90,24.16,snow,AR,2020-08-31 01:17:05
21,Cape Town,-33.93,18.42,48.99,81,40,9.17,scattered clouds,ZA,2020-08-31 01:14:33
22,Khasan,42.43,130.64,64.72,86,100,14.09,light rain,RU,2020-08-31 01:17:12
23,Severo-Kurilsk,50.68,156.12,52.66,78,10,15.93,clear sky,RU,2020-08-31 01:17:12
24,Santa Cruz,-17.8,-63.17,78.8,69,17,2.24,few clouds,BO,2020-08-31 01:12:36
25,Busselton,-33.65,115.33,52.0,84,0,7.05,clear sky,AU,2020-08-31 01:16:22
26,Buraydah,26.33,43.98,86.0,20,0,6.93,clear sky,SA,2020-08-31 01:17:13
27,Pasvalys,56.06,24.4,57.2,100,90,4.7,overcast clouds,LT,2020-08-31 01:17:13
