City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2020-08-28 14:15:04,-46.19,168.86,45.0,72,97,11.01
1,Shimoda,JP,2020-08-28 14:15:04,34.67,138.95,73.0,95,0,2.55
2,Cape Town,ZA,2020-08-28 14:14:47,-33.93,18.42,55.99,76,75,12.75
3,Kaitangata,NZ,2020-08-28 14:15:05,-46.28,169.85,42.01,80,96,11.97
4,Kemin,KG,2020-08-28 14:15:05,42.78,75.69,61.65,45,0,3.29
5,Vanimo,PG,2020-08-28 14:15:05,-2.67,141.3,80.46,83,100,8.32
6,Urubicha,BO,2020-08-28 14:15:05,-15.38,-62.95,95.02,26,32,4.05
7,San Cristobal,VE,2020-08-28 14:15:05,7.77,-72.22,82.4,61,20,4.7
8,Bambous Virieux,MU,2020-08-28 14:13:20,-20.34,57.76,73.4,83,75,11.41
9,Timmins,CA,2020-08-28 14:10:35,48.47,-81.33,53.6,93,90,2.24
10,Punta Arenas,CL,2020-08-28 14:15:06,-53.15,-70.92,32.0,92,20,28.86
11,Kapaa,US,2020-08-28 14:11:04,22.08,-159.32,72.0,59,6,10.67
12,Hambantota,LK,2020-08-28 14:15:06,6.12,81.12,86.0,66,90,11.41
13,Kahului,US,2020-08-28 14:15:06,20.89,-156.47,73.99,69,1,3.36
14,Butaritari,KI,2020-08-28 14:15:06,3.07,172.79,83.12,69,99,10.63
15,Mecca,SA,2020-08-28 14:15:07,21.43,39.83,102.67,13,0,16.51
16,Surt,LY,2020-08-28 14:15:07,31.21,16.59,84.0,56,0,12.44
17,Laramie,US,2020-08-28 14:15:07,41.31,-105.59,55.99,80,0,5.21
18,Pisco,PE,2020-08-28 14:15:07,-13.7,-76.22,61.0,87,90,3.36
19,Caravelas,BR,2020-08-28 14:15:07,-17.71,-39.25,78.78,62,2,7.47
20,Eureka,US,2020-08-28 14:15:08,40.8,-124.16,51.01,100,1,2.17
21,Port Elizabeth,ZA,2020-08-28 14:15:08,-33.92,25.57,62.6,59,10,21.92
22,Sola,VU,2020-08-28 14:15:08,-13.88,167.55,80.35,83,100,25.12
23,Ushuaia,AR,2020-08-28 14:15:08,-54.8,-68.3,32.0,90,90,11.41
24,Atuona,PF,2020-08-28 14:15:08,-9.8,-139.03,78.06,77,70,20.0
25,Hermanus,ZA,2020-08-28 14:15:08,-34.42,19.23,54.0,87,70,4.0
26,Zalantun,CN,2020-08-28 14:15:09,48.0,122.72,55.83,91,100,13.82
27,Blackpool,GB,2020-08-28 14:15:09,53.82,-3.05,59.0,77,40,11.41
