City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
0,Cururupu,BR,2021-03-12 15:05:30,-1.8283,-44.8683,82.69,82.69,82.69,Clouds,overcast clouds,79,100,5.73
1,Mataura,NZ,2021-03-12 15:05:31,-46.1927,168.8643,46.0,46.0,46.0,Clear,clear sky,94,0,1.01
2,Kavaratti,IN,2021-03-12 15:05:31,10.5669,72.642,83.71,83.71,83.71,Clouds,overcast clouds,64,94,2.26
3,East London,ZA,2021-03-12 15:05:31,-33.0153,27.9116,80.6,80.6,80.6,Clear,clear sky,69,0,18.41
4,Ushuaia,AR,2021-03-12 15:05:32,-54.8,-68.3,51.8,51.8,51.8,Rain,light rain,76,0,19.57
5,Khuzdar,PK,2021-03-12 15:04:39,27.7384,66.6434,68.81,68.81,68.81,Clear,clear sky,29,8,8.41
6,Nioro,GM,2021-03-12 15:05:32,13.35,-15.75,102.04,102.04,102.04,Clouds,broken clouds,7,67,9.44
7,Punta Arenas,CL,2021-03-12 15:05:33,-53.15,-70.9167,57.11,57.0,57.2,Clouds,broken clouds,67,75,24.16
8,Dikson,RU,2021-03-12 15:05:33,73.5069,80.5464,7.74,7.74,7.74,Snow,light snow,92,100,39.46
9,San Cristobal,VE,2021-03-12 15:05:33,7.7669,-72.225,77.0,77.0,77.0,Fog,fog,73,40,9.22
10,Kapaa,US,2021-03-12 15:05:33,22.0752,-159.319,69.35,69.01,69.8,Rain,very heavy rain,100,90,10.36
11,Severo-Kurilsk,RU,2021-03-12 15:05:34,50.6789,156.125,20.75,20.75,20.75,Snow,light snow,78,89,31.72
12,Busselton,AU,2021-03-12 15:05:34,-33.65,115.3333,54.39,54.0,55.0,Clear,clear sky,83,0,14.41
13,Carnarvon,AU,2021-03-12 15:05:34,-24.8667,113.6333,80.6,80.6,80.6,Clear,clear sky,69,0,21.85
14,Atuona,PF,2021-03-12 15:03:55,-9.8,-139.0333,78.89,78.89,78.89,Clouds,scattered clouds,62,29,4.34
15,Klaksvik,FO,2021-03-12 15:05:35,62.2266,-6.589,39.2,39.2,39.2,Drizzle,drizzle,93,75,18.41
16,Hobart,AU,2021-03-12 15:05:35,-42.8794,147.3294,67.03,64.0,69.8,Clouds,overcast clouds,60,100,9.22
17,Sitka,US,2021-03-12 15:05:36,57.0531,-135.33,30.2,30.2,30.2,Snow,light snow,86,90,8.05
18,Bengkulu,ID,2021-03-12 15:05:36,-3.8004,102.2655,77.97,77.97,77.97,Clouds,overcast clouds,81,100,4.03
19,Ulagan,RU,2021-03-12 15:05:36,50.6321,87.9563,25.09,25.09,25.09,Clouds,overcast clouds,67,100,6.38
20,Qaanaaq,GL,2021-03-12 15:05:37,77.484,-69.3632,2.77,2.77,2.77,Clouds,overcast clouds,71,100,0.96
21,Debno,PL,2021-03-12 15:05:37,52.739,14.698,51.66,51.01,52.0,Clouds,overcast clouds,46,100,7.0
22,Sokoni,TZ,2021-03-12 15:05:37,-6.4333,39.55,88.29,86.0,89.6,Clouds,few clouds,51,20,13.8
23,Bluff,NZ,2021-03-12 15:05:38,-46.6,168.3333,46.0,46.0,46.0,Clouds,few clouds,94,21,1.01
24,Christchurch,NZ,2021-03-12 15:03:06,-43.5333,172.6333,48.85,44.6,52.0,Clear,clear sky,93,0,1.14
25,Rikitea,PF,2021-03-12 15:05:38,-23.1203,-134.9692,79.21,79.21,79.21,Clouds,overcast clouds,74,100,6.91
26,New Norfolk,AU,2021-03-12 15:05:38,-42.7826,147.0587,66.36,64.0,69.8,Clouds,overcast clouds,60,100,9.22
27,Mabaruma,GY,2021-03-12 15:05:39,8.2,-59.7833,83.97,83.97,83.97,Clouds,few clouds,67,21,6.89
28,Biak,ID,2021-03-12 15:05:39,-0.9131,122.8766,77.43,77.43,77.43,Clouds,overcast clouds,82,97,1.36
29,Cherskiy,RU,2021-03-12 15:05:40,68.75,161.3,-7.53,-7.53,-7.53,Clouds,overcast clouds,83,100,6.98
30,Tongliao,CN,2021-03-12 15:05:40,43.6125,122.2653,35.42,35.42,35.42,Clouds,broken clouds,57,79,2.42
31,Hithadhoo,MV,2021-03-12 15:05:40,-0.6,73.0833,83.8,83.8,83.8,Clear,clear sky,60,1,4.36
